,start_time,end_time,wav_file,emotion,val,act,dom
0,10.0461,13.35,Ses05F_script03_2_F000,neu,2.5,3.0,3.0
1,15.6,18.02,Ses05F_script03_2_F001,neu,2.0,3.0,3.5
2,20.04,23.71,Ses05F_script03_2_F002,xxx,2.5,3.0,3.5
3,26.41,29.53,Ses05F_script03_2_F003,neu,2.5,3.0,3.5
4,31.95,34.54,Ses05F_script03_2_F004,neu,2.5,2.5,3.0
5,36.61,38.22,Ses05F_script03_2_F005,neu,2.5,4.0,3.0
6,38.78,42.62,Ses05F_script03_2_F006,neu,4.0,3.0,4.0
7,43.12,47.71,Ses05F_script03_2_F007,xxx,2.5,3.0,4.0
8,48.98,54.02,Ses05F_script03_2_F008,fru,2.0,2.5,3.5
9,57.94,59.61,Ses05F_script03_2_F009,xxx,3.0,2.5,2.5
10,61.23,64.73,Ses05F_script03_2_F010,neu,2.0,3.0,3.5
11,67.34,70.79,Ses05F_script03_2_F011,neu,2.0,3.0,3.5
12,75.78,78.16,Ses05F_script03_2_F012,neu,2.5,2.5,3.5
13,85.36,87.45,Ses05F_script03_2_F013,xxx,2.5,2.5,3.0
14,96.47,99.77,Ses05F_script03_2_F014,neu,2.5,2.5,3.5
15,107.35,111.38,Ses05F_script03_2_F015,xxx,2.5,3.5,3.5
16,113.08,114.9,Ses05F_script03_2_F016,xxx,2.5,2.5,3.0
17,115.82,117.97,Ses05F_script03_2_F017,xxx,1.5,2.5,3.0
18,121.25,124.39,Ses05F_script03_2_F018,ang,1.5,3.5,4.0
19,125.21,127.4,Ses05F_script03_2_F019,ang,3.0,3.0,3.5
20,129.28,130.49,Ses05F_script03_2_F020,ang,3.0,3.0,3.0
21,130.59,134.53,Ses05F_script03_2_F021,ang,1.0,4.0,4.5
22,140.46,142.36,Ses05F_script03_2_F022,neu,4.0,3.5,3.5
23,143.88,145.36,Ses05F_script03_2_F023,ang,2.5,2.5,3.0
24,149.63,154.83,Ses05F_script03_2_F024,ang,2.0,3.0,4.5
25,165.66,170.51,Ses05F_script03_2_F025,xxx,2.0,4.0,4.5
26,172.43,176.48,Ses05F_script03_2_F026,fru,2.0,3.5,4.5
27,180.52,183.57,Ses05F_script03_2_F027,ang,2.5,2.0,3.0
28,186.38,187.85,Ses05F_script03_2_F028,fru,1.5,4.0,3.5
29,189.12,190.54,Ses05F_script03_2_F029,ang,1.5,3.5,4.0
30,192.4,195.74,Ses05F_script03_2_F030,ang,2.5,3.5,3.5
31,196.8,198.86,Ses05F_script03_2_F031,ang,4.0,2.5,3.5
32,201.55,203.72,Ses05F_script03_2_F032,ang,2.0,2.5,4.0
33,204.79,210.14,Ses05F_script03_2_F033,ang,1.5,3.5,4.5
34,212.22,215.05,Ses05F_script03_2_F034,ang,2.0,3.5,4.0
35,215.08,219.12,Ses05F_script03_2_F035,ang,2.0,2.5,4.0
36,219.39,221.67,Ses05F_script03_2_F036,ang,1.5,4.0,4.0
37,221.71,222.94,Ses05F_script03_2_F037,ang,2.0,3.5,4.0
38,223.01,229.86,Ses05F_script03_2_F038,ang,1.0,4.5,5.0
39,231.36,237.42,Ses05F_script03_2_F039,ang,1.0,4.0,5.0
40,239.84,247.11,Ses05F_script03_2_F040,ang,1.0,4.5,5.0
41,248.55,252.28,Ses05F_script03_2_F041,ang,1.5,4.0,5.0
42,4.65,10.15,Ses05F_script03_2_M000,xxx,2.5,3.5,4.0
43,12.79,16.27,Ses05F_script03_2_M001,xxx,2.5,3.5,3.5
44,17.31,21.49,Ses05F_script03_2_M002,xxx,2.0,3.5,4.0
45,23.11,26.79,Ses05F_script03_2_M003,xxx,2.0,3.0,3.5
46,29.09,32.58,Ses05F_script03_2_M004,ang,2.0,3.5,3.5
47,34.08,36.99,Ses05F_script03_2_M005,ang,2.0,3.5,3.5
48,37.95,39.05,Ses05F_script03_2_M006,fru,1.5,3.5,4.0
49,41.74,43.67,Ses05F_script03_2_M007,xxx,1.5,4.0,4.0
50,47.06,49.8,Ses05F_script03_2_M008,ang,1.5,3.0,4.5
51,53.59,58.34,Ses05F_script03_2_M009,neu,2.5,3.0,3.0
52,59.08,61.55,Ses05F_script03_2_M010,neu,3.0,3.5,3.0
53,64.24,67.92,Ses05F_script03_2_M011,xxx,3.0,2.5,3.5
54,70.35,76.42,Ses05F_script03_2_M012,xxx,2.0,3.0,4.5
55,77.66,82.93,Ses05F_script03_2_M013,ang,2.0,4.0,4.5
56,86.69,88.53,Ses05F_script03_2_M014,ang,2.0,3.5,4.5
57,94.79,97.28,Ses05F_script03_2_M015,xxx,3.0,3.5,3.0
58,99.41,102.28,Ses05F_script03_2_M016,ang,2.5,3.5,3.5
59,110.43,113.45,Ses05F_script03_2_M017,xxx,3.5,3.5,3.5
60,113.96,115.75,Ses05F_script03_2_M018,fru,4.0,3.0,3.5
61,117.36,122.2,Ses05F_script03_2_M019,ang,2.0,3.5,4.5
62,123.55,125.99,Ses05F_script03_2_M020,xxx,2.0,3.5,4.0
63,126.87,129.95,Ses05F_script03_2_M021,xxx,2.0,3.5,4.5
64,129.97,131.05,Ses05F_script03_2_M022,ang,1.5,3.0,5.0
65,134.0,135.41,Ses05F_script03_2_M023,fru,2.5,3.0,3.0
66,138.13,141.25,Ses05F_script03_2_M024,ang,1.5,3.5,4.0
67,141.87,144.84,Ses05F_script03_2_M025,ang,2.0,3.5,4.0
68,145.11,150.41,Ses05F_script03_2_M026,ang,2.0,4.5,4.5
69,154.03,156.73,Ses05F_script03_2_M027,xxx,2.0,3.5,3.5
70,158.24,166.48,Ses05F_script03_2_M028,xxx,2.0,4.5,4.5
71,169.6,174.06,Ses05F_script03_2_M029,xxx,1.5,4.0,4.5
72,175.16,180.88,Ses05F_script03_2_M030,fru,2.0,5.0,4.5
73,182.59,185.74,Ses05F_script03_2_M031,xxx,1.5,3.5,4.5
74,187.37,189.44,Ses05F_script03_2_M032,fru,2.0,3.0,4.5
75,190.21,193.16,Ses05F_script03_2_M033,xxx,2.5,3.0,3.5
76,195.06,197.74,Ses05F_script03_2_M034,xxx,3.0,3.0,3.5
77,198.05,201.09,Ses05F_script03_2_M035,xxx,2.0,3.5,4.0
78,202.61,204.42,Ses05F_script03_2_M036,xxx,2.0,2.5,3.5
79,209.61,212.69,Ses05F_script03_2_M037,ang,1.5,4.0,4.5
80,214.34,215.96,Ses05F_script03_2_M038,ang,1.5,4.0,4.5
81,218.14,219.82,Ses05F_script03_2_M039,ang,2.0,3.5,4.0
82,220.99,223.72,Ses05F_script03_2_M040,ang,1.5,4.5,4.0
83,229.16,231.87,Ses05F_script03_2_M041,ang,2.5,4.0,4.0
84,236.11,240.27,Ses05F_script03_2_M042,ang,2.0,4.0,4.5
85,246.55,256.43,Ses05F_script03_2_M043,ang,1.0,4.5,5.0
86,24.6765,25.82,Ses05M_script02_1_F000,sad,3.0,2.0,2.5
87,56.29,58.17,Ses05M_script02_1_F001,neu,3.0,3.0,2.5
88,60.7,62.91,Ses05M_script02_1_F002,xxx,2.0,2.5,3.5
89,63.63,70.34,Ses05M_script02_1_F003,xxx,2.5,2.0,4.0
90,88.66,89.76,Ses05M_script02_1_F004,xxx,3.0,1.5,2.5
91,121.75,123.08,Ses05M_script02_1_F005,xxx,2.5,2.0,3.0
92,124.02,126.71,Ses05M_script02_1_F006,xxx,2.0,3.0,3.5
93,133.14,135.33,Ses05M_script02_1_F007,xxx,2.0,2.0,3.0
94,135.61,136.91,Ses05M_script02_1_F008,xxx,2.0,3.0,3.5
95,137.03,138.46,Ses05M_script02_1_F009,xxx,2.0,3.0,3.5
96,143.52,145.49,Ses05M_script02_1_F010,xxx,2.0,1.5,3.0
97,146.89,148.77,Ses05M_script02_1_F011,xxx,2.5,2.0,3.0
